bd_swab_id,qpcr_plate_id,average_ct,average_target_quant,standard,qpcr_date,qpcr_lab
180413-07-PA03-LIPI,SERDP_111_110518,25.202,9897.13,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-08-PA03-LIPI,SERDP_111_110518,29.587,490.9359999999999,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-09-PA03-LIPI,SERDP_111_110518,32.252,79.099,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-10-PA03-LIPI,SERDP_111_110518,27.868,1593.84,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-11-PA03-LIPI,SERDP_111_110518,31.862,103.319,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-12-PA03-LIPI,SERDP_111_110518,25.735,6868.94,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-13-PA03-LIPI,SERDP_111_110518,27.193,2530.94,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-14-PA03-LIPI,SERDP_111_110518,28.203,1266.9,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-15-PA03-LIPI,SERDP_111_110518,27.294,2361.9300000000003,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-16-PA03-LIPI,SERDP_111_110518,35.023,11.857,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-17-PA03-LIPI,SERDP_111_110518,22.775,52201.11,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-18-PA03-LIPI,SERDP_111_110518,24.375,17442.629999999997,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-19-PA03-LIPI,SERDP_111_110518,30.618,242.262,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-20-PA03-LIPI,SERDP_111_110518,25.865,6283,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-21-PA03-LIPI,SERDP_112_110518,27.84,1837.46,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-22-PA03-LIPI,SERDP_112_110518,24.807,14435.42,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-23-PA03-LIPI,SERDP_112_110518,37.726,2.218,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-24-PA03-LIPI,SERDP_112_110518,31.209,186.088,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-25-PA03-LIPI,SERDP_112_110518,24.455,18342.25,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
180413-26-PA03-LIPI,SERDP_112_110518,29.939,441.168,plasmid-pisces,2018-11-05T00:00:00Z,rz_lab
