bd_swab_id,extraction_plate_id,extraction_date,qpcr_plate_id,qpcr_date,average_ct,average_copy_number,average_zoospores,extract_lab,qpcr_lab,standard,master_mix,qpcr_machine,extraction_kit,replicate,result,swab_type
190705-15-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-16-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-17-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-18-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-19-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-20-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-21-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-25-PA03-HYVE,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-30-PA03-HYVE,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-31-PA03-LICA,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-32-PA03-LICA,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-33-PA03-LICA,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-01-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-02-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,37.06285858,2.7500848770000004,110.0033951,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190706-03-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-04-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-05-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-06-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-07-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-08-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-09-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-10-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-11-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-12-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-13-PA02-LICA,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-13-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-14-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-15-PA02-LICA,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190706-15-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
